DATAS,NUMEROS
19-JAN-21,1396
20-JAN-21,3919
21-JAN-21,3404
22-JAN-21,2690
23-JAN-21,2876
24-JAN-21,3245
25-JAN-21,3203
26-JAN-21,2246
27-JAN-21,1643
28-JAN-21,2875
29-JAN-21,8656
30-JAN-21,10213
31-JAN-21,7148
01-FEB-21,4156
02-FEB-21,2869
03-FEB-21,2784
04-FEB-21,5062
05-FEB-21,7971
06-FEB-21,8787
07-FEB-21,1357
08-FEB-21,10601
09-FEB-21,7901
10-FEB-21,1435
11-FEB-21,1740
12-FEB-21,1784
15-FEB-21,2598
16-FEB-21,3455
17-FEB-21,3365
18-FEB-21,2828
19-FEB-21,2944
20-FEB-21,2363
22-FEB-21,6320
23-FEB-21,2430
24-FEB-21,1896
25-FEB-21,6789
26-FEB-21,13519
27-FEB-21,14455
28-FEB-21,8741
01-MAR-21,3011
02-MAR-21,3146
03-MAR-21,1541
04-MAR-21,7670
05-MAR-21,3957
06-MAR-21,9906
07-MAR-21,2259
08-MAR-21,9838
09-MAR-21,8683
10-MAR-21,5621
11-MAR-21,5829
12-MAR-21,6546
13-MAR-21,4733
15-MAR-21,6565
16-MAR-21,6359
17-MAR-21,6711
18-MAR-21,5571
19-MAR-21,6829
20-MAR-21,11020
21-MAR-21,5052
22-MAR-21,3807
23-MAR-21,12446
24-MAR-21,12987
25-MAR-21,16015
26-MAR-21,16088
27-MAR-21,16886
28-MAR-21,16800
29-MAR-21,8819
30-MAR-21,11251
31-MAR-21,17947
01-APR-21,14898
03-APR-21,18596
04-APR-21,8841
05-APR-21,17200
06-APR-21,7453
07-APR-21,11379
08-APR-21,7407
09-APR-21,8708
10-APR-21,15685
11-APR-21,5479
12-APR-21,5930
13-APR-21,5564
14-APR-21,6290
15-APR-21,4999
16-APR-21,6647
17-APR-21,21537
18-APR-21,11281
19-APR-21,14761
20-APR-21,16651
21-APR-21,13968
22-APR-21,17469
23-APR-21,10343
24-APR-21,18025
25-APR-21,8877
26-APR-21,11021
27-APR-21,16882
28-APR-21,11961
29-APR-21,6068
30-APR-21,9476
01-MAY-21,9749
02-MAY-21,4526
03-MAY-21,10362
04-MAY-21,12067
05-MAY-21,14474
06-MAY-21,16153
07-MAY-21,13092
08-MAY-21,7671
10-MAY-21,15638
11-MAY-21,17128
12-MAY-21,12046
13-MAY-21,13244
14-MAY-21,10142
15-MAY-21,30210
16-MAY-21,14869
17-MAY-21,14646
18-MAY-21,12866
19-MAY-21,15498
20-MAY-21,17166
21-MAY-21,20919
22-MAY-21,11188
23-MAY-21,5
24-MAY-21,1539
25-MAY-21,8711
26-MAY-21,9159
27-MAY-21,29113
28-MAY-21,12864
29-MAY-21,3053
31-MAY-21,2665
01-JUN-21,1060
02-JUN-21,1040
03-JUN-21,21240
04-JUN-21,15931
05-JUN-21,12313
07-JUN-21,14804
08-JUN-21,18230
09-JUN-21,13892
10-JUN-21,21628
11-JUN-21,20778
12-JUN-21,14651
14-JUN-21,6761
15-JUN-21,6830
16-JUN-21,21376
17-JUN-21,6789
18-JUN-21,17332
19-JUN-21,19789
20-JUN-21,5209
21-JUN-21,19249
22-JUN-21,15318
23-JUN-21,12
24-JUN-21,3
25-JUN-21,25506
26-JUN-21,18986
27-JUN-21,10169
28-JUN-21,16947
29-JUN-21,4585
30-JUN-21,4425
01-JUL-21,37284
02-JUL-21,15994
04-JUL-21,24103
05-JUL-21,22613
06-JUL-21,7250
07-JUL-21,919
08-JUL-21,758
09-JUL-21,23538
10-JUL-21,8603
11-JUL-21,1539
12-JUL-21,2451
13-JUL-21,11474
14-JUL-21,6424
15-JUL-21,6429
16-JUL-21,24479
17-JUL-21,30956
19-JUL-21,23663
20-JUL-21,34329
21-JUL-21,32170
22-JUL-21,37234
23-JUL-21,14134
24-JUL-21,17408
25-JUL-21,29
26-JUL-21,11053
27-JUL-21,8468
28-JUL-21,21499
29-JUL-21,22176
30-JUL-21,12616
31-JUL-21,20919
01-AUG-21,10231
02-AUG-21,20301
03-AUG-21,22041
04-AUG-21,22782
05-AUG-21,29717
06-AUG-21,23263
07-AUG-21,21419
09-AUG-21,38166
10-AUG-21,37650
11-AUG-21,35730
12-AUG-21,30003
13-AUG-21,30719
14-AUG-21,28677
15-AUG-21,1
16-AUG-21,34637
17-AUG-21,23896
18-AUG-21,47075
19-AUG-21,34598
20-AUG-21,20546
21-AUG-21,43002
22-AUG-21,4
23-AUG-21,25669
24-AUG-21,23359
25-AUG-21,26878
26-AUG-21,16360
27-AUG-21,18923
28-AUG-21,22626
30-AUG-21,16475
31-AUG-21,14200
